key,status,,,
AL,Alabama,,,done
AK,Alaska,,,done
AS,American Samoa,,,done
AZ,Arizona,,,done
AR,Arkansas,,,done
AE,Armed Forces,,,done
AA,Armed Forces Americas,,,done
AP,Armed Forces Pacific,,,done
CA,California,,,done
CO,Colorado,,,done
CT,Connecticut,,,done
DE,Delaware,,,done
DC,District of Columbia,,,done
FL,Florida,,,done
GU,Guam,,,done
GA,Georgia,,,done
HI,Hawaii,,,done
ID,Idaho,,,done
IL,Illinois,,,done
IN,Indiana,,,done
IA,Iowa,,,done
KS,Kansas,,,done
KY,Kentucky,,,done
LA,Louisiana,,,done
ME,Maine,,,done
MD,Maryland,,,done
MA,Massachusetts,,,done
MI,Michigan,,,done
MN,Minnesota,,,done
MS,Mississippi,,,done
MO,Missouri,,,done
MT,Montana,,,done
NE,Nebraska,,,done
NV,Nevada,,,done
NH,New Hampshire,,,done
NJ,New Jersey,,,done
NM,New Mexico,,,done
NY,New York,,,done
NC,North Carolina,,,done
ND,North Dakota,,,done
OH,Ohio,,,done
OK,Oklahoma,,,done
OR,Oregon,,,done
PA,Pennsylvania,,,done
PR,Puerto Rico,,,done
RI,Rhode Island,,,done
SC,South Carolina,,,done
SD,South Dakota,,,done
TN,Tennessee,,,done
TX,Texas,,,done
UT,Utah,,,done
VT,Vermont,,,done
VA,Virginia,,,done
WA,Washington,,,done
WV,West Virginia,,,done
WI,Wisconsin,,,done
WY,Wyoming,,,done
